Index       TIME              V(A)              V(B)              V(C)              V(D)              V(S)             V(COUT)           V(_0_)            V(_1_)            V(_2_)      
132      5.90058060e-08    0.00000000e+00    0.00000000e+00    6.75435449e-01    1.20000000e+00    5.77162445e-04    5.47868221e-01    4.21501952e-01    1.19783313e+00    1.19999999e+00
133      5.90112387e-08    0.00000000e+00    0.00000000e+00    6.75842903e-01    1.20000000e+00    3.53087370e-04    6.32618360e-01    4.04166282e-01    1.19801523e+00    1.19999999e+00
134      5.90166714e-08    0.00000000e+00    0.00000000e+00    6.76250358e-01    1.20000000e+00    2.15988786e-04    7.28068466e-01    3.86307694e-01    1.19817641e+00    1.19999999e+00
135      5.90221042e-08    0.00000000e+00    0.00000000e+00    6.76657812e-01    1.20000000e+00    1.32116397e-04    8.35182463e-01    3.67980646e-01    1.19831957e+00    1.19999999e+00
136      5.90275369e-08    0.00000000e+00    0.00000000e+00    6.77065266e-01    1.20000000e+00    8.08104222e-05    9.49756508e-01    3.49230510e-01    1.19844710e+00    1.19999999e+00
137      5.90287587e-08    0.00000000e+00    0.00000000e+00    6.77156900e-01    1.20000000e+00    7.29083574e-05    9.74962957e-01    3.44949369e-01    1.19847352e+00    1.19999999e+00
138      5.90312022e-08    0.00000000e+00    0.00000000e+00    6.77340169e-01    1.20000000e+00    5.86495996e-05    1.02268842e+00    3.36349769e-01    1.19852506e+00    1.19999999e+00
139      5.90360894e-08    0.00000000e+00    0.00000000e+00    6.77706706e-01    1.20000000e+00    3.77527112e-05    1.09865452e+00    3.18934920e-01    1.19862079e+00    1.19999999e+00
140      5.90409766e-08    0.00000000e+00    0.00000000e+00    6.78073243e-01    1.20000000e+00    2.43016699e-05    1.14761083e+00    3.01247866e-01    1.19870758e+00    1.19999999e+00
141      5.90458637e-08    0.00000000e+00    0.00000000e+00    6.78439780e-01    1.20000000e+00    1.56436122e-05    1.17497990e+00    2.83307001e-01    1.19878649e+00    1.19999999e+00
142      5.90507509e-08    0.00000000e+00    0.00000000e+00    6.78806317e-01    1.20000000e+00    1.00707816e-05    1.18877240e+00    2.65128379e-01    1.19885842e+00    1.19999999e+00
143      5.90556380e-08    0.00000000e+00    0.00000000e+00    6.79172854e-01    1.20000000e+00    6.48384463e-06    1.19521632e+00    2.46726070e-01    1.19892414e+00    1.19999999e+00
144      5.90654124e-08    0.00000000e+00    0.00000000e+00    6.79905928e-01    1.20000000e+00    2.56480633e-06    1.19958072e+00    2.09303320e-01    1.19903980e+00    1.19999999e+00
145      5.90751867e-08    0.00000000e+00    0.00000000e+00    6.80639002e-01    1.20000000e+00    1.01661096e-06    1.19998008e+00    1.71179873e-01    1.19913774e+00    1.19999999e+00
146      5.90947353e-08    0.00000000e+00    0.00000000e+00    6.82105150e-01    1.20000000e+00    7.75283856e-08    1.20000591e+00    1.01858269e-01    1.19929484e+00    1.19999999e+00
